countries,total_cases,new_cases,total_recovered,active_cases,total_cases_per_million,new_deaths,death_per_million,total_deaths
World,1202715,1262,246648,891333,154.0,46,8.3,1202715
USA,311635,278,14825,288356,941.0,2,26.0,311635
Spain,126168,0,34219,80002,2699.0,0,256.0,126168
Italy,124632,0,20996,88274,2061.0,0,254.0,124632
Germany,96092,0,26400,68248,1147.0,0,17.0,96092
France,89953,0,15438,66955,1378.0,0,116.0,89953
Iran,55743,0,19736,32555,664.0,0,41.0,55743
UK,41903,0,135,37455,617.0,0,64.0,41903
Turkey,23934,0,786,22647,284.0,0,6.0,23934
Switzerland,20505,0,6415,13424,2369.0,0,77.0,20505
Belgium,18431,0,3247,13901,1590.0,0,111.0,18431
Netherlands,16627,0,250,14726,970.0,0,96.0,16627
Canada,14018,106,2603,11182,371.0,2,6.0,14018
Austria,11781,0,2507,9088,1308.0,0,21.0,11781
Portugal,10524,0,75,10183,1032.0,0,26.0,10524
Brazil,10360,0,127,9788,49.0,0,2.0,10360
S. Korea,10237,81,6463,3591,200.0,6,4.0,10237
Israel,7851,0,427,7380,907.0,0,5.0,7851
Sweden,6443,0,205,5865,638.0,0,37.0,6443
Australia,5635,85,585,5016,221.0,4,1.0,5635
Norway,5550,0,32,5456,1024.0,0,11.0,5550
Russia,4731,0,333,4355,32.0,0,0.3,4731
Ireland,4604,0,25,4442,932.0,0,28.0,4604
Czechia,4472,0,78,4335,418.0,0,6.0,4472
Chile,4161,0,528,3606,218.0,0,1.0,4161
Denmark,4077,0,1283,2633,704.0,0,28.0,4077
Poland,3627,0,116,3432,96.0,0,2.0,3627
Romania,3613,0,329,3138,188.0,0,8.0,3613
India,3588,0,229,3260,3.0,0,0.07,3588
Malaysia,3483,0,915,2511,108.0,0,2.0,3483
Ecuador,3465,0,100,3193,196.0,0,10.0,3465
Japan,3139,0,514,2548,25.0,0,0.6,3139
Philippines,3094,0,57,2893,28.0,0,1.0,3094
Pakistan,2818,0,131,2646,13.0,0,0.2,2818
Luxembourg,2729,0,500,2198,4360.0,0,50.0,2729
Saudi Arabia,2370,191,420,1921,68.0,0,0.8,2370
Thailand,2169,102,674,1472,31.0,3,0.3,2169
Indonesia,2092,0,150,1751,8.0,0,0.7,2092
Mexico,1890,202,633,1178,15.0,19,0.6,1890
Finland,1882,0,300,1557,340.0,0,5.0,1882
Panama,1801,0,13,1742,417.0,0,11.0,1801
Peru,1746,0,914,759,53.0,0,2.0,1746
Greece,1673,0,78,1527,161.0,0,7.0,1673
Serbia,1624,0,54,1526,186.0,0,5.0,1624
South Africa,1585,0,95,1481,27.0,0,0.2,1585
Dominican Republic,1578,0,17,1484,145.0,0,7.0,1578
UAE,1505,0,125,1370,152.0,0,1.0,1505
Argentina,1451,0,279,1129,32.0,0,1.0,1451
Iceland,1417,0,396,1017,4152.0,0,12.0,1417
Colombia,1406,0,85,1289,28.0,0,0.6,1406
Qatar,1325,0,109,1213,460.0,0,1.0,1325
Algeria,1251,0,90,1031,29.0,0,3.0,1251
Ukraine,1225,0,25,1168,28.0,0,0.7,1225
Singapore,1189,0,297,886,203.0,0,1.0,1189
Croatia,1126,0,119,995,274.0,0,3.0,1126
Egypt,1070,0,241,758,10.0,0,0.7,1070
Estonia,1039,0,59,967,783.0,0,10.0,1039
New Zealand,1039,89,156,882,215.0,0,0.2,1039
Slovenia,977,0,79,876,470.0,0,11.0,977
Morocco,919,0,66,794,25.0,0,2.0,919
Iraq,878,0,259,563,22.0,0,1.0,878
